product_id;price;product;brand;unit_price;units;categories;discount;date
278654;1.0;FOURIER paté de cerdo a la pimienta envase 75 gr;FOURIER;13.33;€/Kg.;['Frescos', 'Charcutería y quesos', 'Foie. patés y sobrasadas'];;2023-03-26
221939;11.04;Costilla ibérica adobada (peso aprox. 1.3 Kg);;8.49;€/Kg.;['Frescos', 'Carne', 'Cerdo'];;2023-03-26
64393;1.66;RIOVERDE pepinillo sabor anchoa frasco 180 gr;RIOVERDE;9.22;€/Kg.;['Despensa', 'Aperitivos'];;2023-03-26
275268;2.55;DIA FIDIAS yogur griego natural ligero tarrina 1 kg;DIA FIDIAS;2.55;€/Kg.;['Despensa', 'Lácteos y huevos', 'Yogures'];;2023-03-26
274800;1.99;DIA ZUMOSFERA zumo Mente mezcla de frutas con extractos y vitaminas envase 1 lt;DIA ZUMOSFERA;1.99;€/l.;['Bebidas', 'Zumos'];;2023-03-26
49160;1.99;BONTE Men bálsamo after shave frasco 100 ml;BONTE;19.9;€/l.;['Cuidado personal', 'Afeitado'];;2023-03-26
167481;2.0;GALLO pluma SIN GLUTEN paquete 450 gr;GALLO;4.44;€/Kg.;['Despensa', 'Pastas. harinas y masas', 'Pastas'];;2023-03-26
248754;1.13;EVAX protege slips fresh normal plegado en bolsitas  bolsa 20 uds;EVAX;0.06;€/ud.;['Cuidado personal', 'Cuidado íntimo'];;2023-03-26
250447;2.6;POMPADOUR infusión de té con limón agua fría estuche 18 bolsitas;POMPADOUR;72.22;€/Kg.;['Despensa', 'Desayunos y dulces', 'Infusiones'];;2023-03-26
288942;0.92;JOLCA aceitunas negras sin hueso bolsa 75 gr;JOLCA;12.27;€/Kg.;['Despensa', 'Aperitivos'];;2023-03-26
216988;3.09;CARBONELL aceite de oliva virgen extra spray  200 ml;CARBONELL;15.45;€/l.;['Despensa', 'Aceites. vinagres y aliños', 'Aceites'];;2023-03-26
27831;6.79;AS alimento para gatos rico en ave bolsa 4 kg;AS;1.7;€/Kg.;['Mascotas', 'Gatos'];;2023-03-26
219339;1.55;DIA LACTEA yogur natural azucarado sin lactosa pack 4 unidades 125 gr;DIA LACTEA;3.1;€/Kg.;['Despensa', 'Lácteos y huevos', 'Yogures'];;2023-03-26
15976;1.0;REVILLA chorizo tradición en lonchas sobre 65 gr;REVILLA;15.38;€/Kg.;['Frescos', 'Charcutería y quesos', 'Curados'];;2023-03-26
28356;3.79;DANONE ACTIMEL yogur líquido natural pack 6 unidades 100 gr;DANONE ACTIMEL;6.32;€/Kg.;['Despensa', 'Lácteos y huevos', 'Yogures'];;2023-03-26
37838;3.69;KELLOGGS cereales special k con frutas rojas caja 300 gr;KELLOGGS;12.3;€/Kg.;['Despensa', 'Desayunos y dulces', 'Cereales'];;2023-03-26
47496;1.55;LA ASTURIANA garbanzo cocido frasco 400 gr;LA ASTURIANA;3.88;€/Kg.;['Despensa', 'Arroz y legumbres', 'Legumbres'];;2023-03-26
290114;1.7;DIA IMAQE crema reparadora para pies con urea tubo 125 ml;DIA IMAQE;13.6;€/l.;['Cuidado personal', 'Cuidado corporal', 'Cuidado de manos y pies'];;2023-03-26
289203;1.45;MUNDO FLOR borrador mágico paquete 3 uds;MUNDO FLOR;0.48;€/ud.;['Cuidado del hogar', 'Utensilios de limpieza'];;2023-03-26
151698;2.89;SPONTEX frotaespon estropajo con esponja super absorbente bolsa 2 uds;SPONTEX;1.45;€/ud.;['Cuidado del hogar', 'Utensilios de limpieza'];;2023-03-26
273116;0.99;EL MOLINO DE DIA regañás bolsa 250 gr;EL MOLINO DE DIA;3.96;€/Kg.;['Despensa', 'Pan', 'Picos de pan'];;2023-03-26
258430;1.59;Infusión rooibos con frutas bolsa 40 gr;;39.75;€/Kg.;['Despensa', 'Desayunos y dulces', 'Infusiones'];;2023-03-26
1296;0.75;DIA colorante alimentario frasco 60 gr;DIA;12.5;€/Kg.;['Despensa', 'Sal y especias'];;2023-03-26
189369;1.49;DANONE arroz con leche pack 2 unidades 130 gr;DANONE;5.73;€/Kg.;['Despensa', 'Lácteos y huevos', 'Postres'];;2023-03-26
275859;0.53;DIA RAMBLERS cerveza tostada 0.0% alcohol lata 33 cl;DIA RAMBLERS;1.61;€/l.;['Bebidas', 'Cervezas', 'Sin alcohol'];;2023-03-26
