date;product;product_id;brand;price;categories;unit_price;units;discount
2022-11-21;DIA MARI MARINERA medallones de merluza del cabo MSC bolsa 475 gr;26442;DIA MARI MARINERA;3.59;['Congelados', 'Pescado y marisco'];7.56;€/Kg.;
2022-11-21;BODY NATUR manteca corporal de coco tarro 200 ml;270470;BODY NATUR;4.99;['Cuidado personal', 'Cuidado corporal', 'Hidratación corporal'];24.95;€/l.;
2022-11-21;DIA ZUMOSFERA zumo tropical sin azúcares añadidos envase 1 lt;205791;DIA ZUMOSFERA;0.69;['Bebidas', 'Zumos'];0.69;€/l.;
2022-11-21;ASTURIANA leche entera sin lactosa envase 1 lt;240523;ASTURIANA;1.25;['Despensa', 'Lácteos y huevos', 'Leche'];1.25;€/l.;
2022-11-21;DIA IMAQE jabón de manos líquido oliva dosificador 500 ml;273843;DIA IMAQE;1.2;['Cuidado personal', 'Baño e higiene personal', 'Jabón'];2.4;€/l.;
2022-11-21;BONTE champú cabello graso dosificador 750 ml;231658;BONTE;1.89;['Cuidado personal', 'Baño e higiene personal', 'Champús'];2.52;€/l.;
2022-11-21;DIA BÍFIDUS cremoso de higo. ciruela. fresa y frutos del bosque pack 8 unidades 125 gr;186097;DIA BÍFIDUS;2.49;['Despensa', 'Lácteos y huevos', 'Yogures'];2.49;€/Kg.;
2022-11-21;NB PALMOLIVE gel de ducha leche y miel bote 550 ml;198131;NB PALMOLIVE;3.19;['Cuidado personal', 'Baño e higiene personal', 'Geles de duchas y esponjas'];4.91;€/l.;
2022-11-21;GLADE BY BRISE ambientador absorbeolores aroma lavanda 1 ud;238826;GLADE BY BRISE;2.75;['Cuidado del hogar', 'Ambientadores'];2.75;€/ud.;
2022-11-21;NATURE VALLEY barrita de cereales crunchy avena y miel envase 42 gr;270984;NATURE VALLEY;0.99;['Despensa', 'Desayunos y dulces', 'Cereales'];23.57;€/Kg.;
2022-11-21;SELECCIÓN DE DIA mini hamburguesas de pollo bandeja 8 uds 280 gr;261348;SELECCIÓN DE DIA;1.99;['Frescos', 'Carne', 'Pollo'];7.11;€/Kg.;
2022-11-21;KELSIA quitaesmalte acetona pura bote 200 ml;286145;KELSIA;1.79;['Cuidado personal', 'Cuidado corporal', 'Cosmética'];8.95;€/l.;
2022-11-21;SMIRNOFF vodka botella 70 cl;57900;SMIRNOFF;9.99;['Bodega', 'Alcoholes', 'Vodka'];14.27;€/l.;
2022-11-21;DIA RAMBLERS cerveza 100% malta lata 33 cl;280092;DIA RAMBLERS;0.44;['Bebidas', 'Cervezas', 'Especiales'];1.33;€/l.;
2022-11-21;ROYAL gelatina sabor limón caja 114 gr;262263;ROYAL;2.49;['Despensa', 'Desayunos y dulces', 'Preparación de postres'];21.84;€/Kg.;
2022-11-21;CAMPO CURERO vino tinto roble DO Toro botella 75 cl;263722;CAMPO CURERO;2.99;['Bodega', 'Vino', 'Tinto'];3.99;€/l.;
2022-11-21;NOCILLA Duo crema de cacao vaso 180 gr;101750;NOCILLA;2.39;['Despensa', 'Desayunos y dulces', 'Cacao y cremas de cacao'];13.28;€/Kg.;
2022-11-21;Solomillos de pollo empanados bandeja (peso aprox. 715 gr);266078;;6.79;['Frescos', 'Carne', 'Pollo'];9.49;€/Kg.;
2022-11-21;KELLOGGS cereales unicorn froot loops caja 375 gr;242982;KELLOGGS;3.95;['Despensa', 'Desayunos y dulces', 'Cereales'];10.53;€/Kg.;
2022-11-21;DIA AL PUNTO quinoa con verduras bolsa 400 gr;267140;DIA AL PUNTO;2.19;['Congelados', 'Precocinados'];5.48;€/Kg.;
2022-11-21;GILLETTE Venus maquinilla confortglide spa breeze blíster 1 ud;284682;GILLETTE;8.99;['Cuidado personal', 'Depilación'];8.99;€/ud.;
2022-11-21;PASCUAL leche desnatada calcio envase 1 lt PACK 6;104006P6;PASCUAL;10.74;['Despensa', 'Lácteos y huevos', 'Leche'];1.79;€/l.;
2022-11-21;ARLA FOODS queso protein cottage tarrina 200 gr;288046;ARLA FOODS;2.29;['Frescos', 'Charcutería y quesos', 'Quesos'];11.45;€/Kg.;
2022-11-21;DULCESOL bocaditos paquete 370 gr;114553;DULCESOL;1.89;['Despensa', 'Desayunos y dulces', 'Bollería'];5.11;€/Kg.;
2022-11-21;TRIDENT chicle 60 minutos sabor hierbabuena bolsa 60 gr;278213;TRIDENT;1.39;['Despensa', 'Desayunos y dulces', 'Caramelos. chicles y golosinas'];23.17;€/Kg.;
2022-11-21;L'OR café Colombia caja 20 cápsulas;254975;L;7.85;['Despensa', 'Desayunos y dulces', 'Café'];0.39;€/ud.;
2022-11-21;DIA DULCE NOEL polvorones sin azúcar a granel unidad (35 gr peso aprox.);273496;DIA DULCE NOEL;0.2;['Dulces de navidad', 'Mantecados y polvorones'];5.59;€/Kg.;
2022-11-21;FLORBU galletas integrales sin azúcares añadidos bolsa 350 gr;285656;FLORBU;2.55;['Despensa', 'Desayunos y dulces', 'Galletas'];7.29;€/Kg.;
2022-11-21;BONTE seda dental menta y cera caja 50 metros;22142;BONTE;1.25;['Cuidado personal', 'Cuidado bucal'];1.25;€/ud.;
2022-11-21;AL DIANTE salsa ricotta frasco 300 gr;285505;AL DIANTE;1.29;['Despensa', 'Salsas', 'Tomate'];4.3;€/Kg.;
2022-11-21;CASA TARRADELLAS pizza carbonara envase 400 gr;56021;CASA TARRADELLAS;2.99;['Platos preparados', 'Pizzas refrigeradas'];7.48;€/Kg.;
2022-11-21;BONNE MAMAN confitura de melocotón frasco 370 gr;277504;BONNE MAMAN;2.55;['Despensa', 'Desayunos y dulces', 'Mermeladas. miel y frutas en almíbar'];6.89;€/Kg.;
2022-11-21;DIA masa quebrada rollo 230 gr;127851;DIA;1.35;['Despensa', 'Pastas. harinas y masas', 'Masas y hojaldres'];5.87;€/Kg.;
2022-11-21;GRANINI zumo de tomate botella 1 lt;125714;GRANINI;2.89;['Bebidas', 'Zumos'];2.89;€/l.;
2022-11-21;ORBIT chicle grageas sabor eucalipto paquete 5 uds;65607;ORBIT;2.49;['Despensa', 'Desayunos y dulces', 'Caramelos. chicles y golosinas'];30.74;€/Kg.;
2022-11-21;GARCIA BAQUERO queso curado ya cortado pieza 250 g;37614;GARCIA BAQUERO;5.45;['Frescos', 'Charcutería y quesos', 'Quesos'];21.8;€/Kg.;
2022-11-21;GOLDEN ensalada veggie tarrina 200 gr;278588;GOLDEN;1.79;['Platos preparados', 'Ensaladas'];3.89;€/Kg.;
2022-11-21;PROCELI wafer chocolate SIN GLUTEN caja 100 gr;175187;PROCELI;3.69;['Despensa', 'Desayunos y dulces', 'Chocolates y bombones'];36.9;€/Kg.;
2022-11-21;VITAKRAFT alimento para gatos con pescado caja 6 x 85 gr;273262;VITAKRAFT;4.15;['Mascotas', 'Gatos'];8.14;€/Kg.;
2022-11-21;SAN BENEDETTO Enjoy refresco tropical sin gas botella 1.5 lt;263608;SAN BENEDETTO;1.2;['Bebidas', 'Refrescos'];0.8;€/l.;
2022-11-21;TROLLI golosinas pulpos pica pica bolsa 100 gr;280179;TROLLI;1.05;['Despensa', 'Desayunos y dulces', 'Caramelos. chicles y golosinas'];10.5;€/Kg.;
2022-11-21;EL PASTOR DE LA POLVOROSA queso de vaca rulo madurado envase 140 gr;189658;EL PASTOR DE LA POLVOROSA;1.55;['Frescos', 'Charcutería y quesos', 'Quesos'];11.07;€/Kg.;
2022-11-21;ORBIT chicle grageas sabor fresa paquete 5 uds;65606;ORBIT;2.49;['Despensa', 'Desayunos y dulces', 'Caramelos. chicles y golosinas'];30.74;€/Kg.;
2022-11-21;TENN limpiador con bioalcohol aloe vera botella 1.3 lt;85349;TENN;2.99;['Cuidado del hogar', 'Productos de limpieza', 'Hogar'];2.3;€/l.;
2022-11-21;M&M's con relleno de chocolate bolsa 200 gr;136715;M;2.69;['Despensa', 'Desayunos y dulces', 'Chocolates y bombones'];13.45;€/Kg.;
2022-11-21;GULLON zero galleta maría paquete 400 gr;132980;GULLON;2.39;['Despensa', 'Desayunos y dulces', 'Galletas'];5.98;€/Kg.;
