product_id;price;product;brand;unit_price;units;categories;discount;date
277771;1.15;DIA ZUMOSFERA zumo de naranja 100% sin pulpa pack 3 unidades 200 ml;DIA ZUMOSFERA;1.92;€/l.;['Bebidas', 'Zumos'];;2022-12-22
265705;12.59;DODOT Pants pañales +15 kg talla 6 paquete 27 uds;DODOT;0.47;€/ud.;['Bebé', 'Pañales'];;2022-12-22
177733;1.05;BONTE loción hidratante formato viaje botella 50 ml;BONTE;21.0;€/l.;['Cuidado personal', 'Cuidado corporal', 'Hidratación corporal'];;2022-12-22
284387;1.19;DIA MARI MARINERA filetes de caballa del sur en aceite de girasol lata 85 gr;DIA MARI MARINERA;14.0;€/Kg.;['Despensa', 'Conservas', 'Conservas de pescado'];;2022-12-22
93;1.57;Calabacín unidad (790 gr aprox.);;1.99;€/Kg.;['Frescos', 'Verduras y hortalizas', 'Calabacín. calabaza y berenjena'];;2022-12-22
125616;2.95;DIA NATURMUNDO avellanas tostadas bolsa 200 gr;DIA NATURMUNDO;14.75;€/Kg.;['Despensa', 'Aperitivos'];;2022-12-22
283888;1.25;DIA IMAQE discos de algodón ovalados bolsa 70 uds;DIA IMAQE;1.25;€/ud.;['Cuidado personal', 'Cuidado corporal', 'Limpieza facial'];;2022-12-22
74305;2.39;DIA GRANDIA copos de arroz y trigo integral paquete 500 gr;DIA GRANDIA;4.78;€/Kg.;['Despensa', 'Desayunos y dulces', 'Cereales'];;2022-12-22
238338;2.79;VILEDA estropajo con fibra paquete 3 uds;VILEDA;0.93;€/ud.;['Cuidado del hogar', 'Utensilios de limpieza'];;2022-12-22
151018;1.89;CASA TARRADELLAS masa fina para pizza rollo 260 gr;CASA TARRADELLAS;7.27;€/Kg.;['Despensa', 'Pastas. harinas y masas', 'Masas y hojaldres'];;2022-12-22
146093;4.89;VIVISIMA+ jalea real envase 12 viales;VIVISIMA;0.41;€/ud.;['Despensa', 'Dietéticos', 'Complementos nutricionales'];;2022-12-22
143549;2.89;HORNIMANS té silueta estuche 20 bolsitas;HORNIMANS;0.14;€/ud.;['Despensa', 'Desayunos y dulces', 'Infusiones'];;2022-12-22
244789;3.99;SELECCIÓN DE DIA hamburguesas de cerdo y vacuno bandeja 6 uds 540 gr;SELECCIÓN DE DIA;7.39;€/Kg.;['Frescos', 'Carne', 'Mixto'];;2022-12-22
73676;1.34;PASCUAL leche entera envase 1 lt;PASCUAL;1.34;€/l.;['Despensa', 'Lácteos y huevos', 'Leche'];;2022-12-22
277773;1.09;DIA ZUMOSFERA néctar de piña envase 1 lt;DIA ZUMOSFERA;1.09;€/l.;['Bebidas', 'Zumos'];;2022-12-22
87057;3.09;MARDEL dulce de leche frasco 450 gr;MARDEL;6.87;€/Kg.;['Despensa', 'Desayunos y dulces', 'Cacao y cremas de cacao'];;2022-12-22
26327;1.79;DIA SUPER PACO abrillantador para lavavajillas máquina botella 1 lt;DIA SUPER PACO;1.79;€/l.;['Cuidado del hogar', 'Lavavajillas'];;2022-12-22
198528;2.69;FLORETTE ensalada de pasta y rúcula tarrina 320 gr;FLORETTE;8.41;€/Kg.;['Platos preparados', 'Ensaladas'];;2022-12-22
150843;0.69;CAPRI-SUN zumo de naranja envase 200 ml;CAPRI;3.45;€/l.;['Bebidas', 'Zumos'];;2022-12-22
227141;1.05;DIA esponja con fibra verde 3 uds;DIA;0.35;€/ud.;['Cuidado del hogar', 'Utensilios de limpieza'];;2022-12-22
