product_id;price;product;brand;unit_price;units;categories;discount;date
265705;12.59;DODOT Pants pañales +15 kg talla 6 paquete 27 uds;DODOT;0.47;€/ud.;['Bebé', 'Pañales'];;2023-04-15
177733;1.09;BONTE loción hidratante formato viaje botella 50 ml;BONTE;21.8;€/l.;['Cuidado personal', 'Cuidado corporal', 'Hidratación corporal'];;2023-04-15
284387;1.15;DIA MARI MARINERA filetes de caballa del sur en aceite de girasol lata 85 gr;DIA MARI MARINERA;13.53;€/Kg.;['Despensa', 'Conservas', 'Conservas de pescado'];;2023-04-15
125616;2.95;DIA NATURMUNDO avellanas tostadas bolsa 200 gr;DIA NATURMUNDO;14.75;€/Kg.;['Despensa', 'Aperitivos'];;2023-04-15
283888;1.25;DIA IMAQE discos de algodón ovalados bolsa 70 uds;DIA IMAQE;1.25;€/ud.;['Cuidado personal', 'Cuidado corporal', 'Limpieza facial'];;2023-04-15
74305;2.35;DIA GRANDIA copos de arroz y trigo integral paquete 500 gr;DIA GRANDIA;4.7;€/Kg.;['Despensa', 'Desayunos y dulces', 'Cereales'];;2023-04-15
238338;2.99;VILEDA estropajo con fibra paquete 3 uds;VILEDA;1.0;€/ud.;['Cuidado del hogar', 'Utensilios de limpieza'];;2023-04-15
151018;1.65;CASA TARRADELLAS masa fina para pizza rollo 260 gr;CASA TARRADELLAS;6.35;€/Kg.;['Despensa', 'Pastas. harinas y masas', 'Masas y hojaldres'];;2023-04-15
146093;4.99;VIVISIMA+ jalea real envase 12 viales;VIVISIMA;0.42;€/ud.;['Despensa', 'Dietéticos', 'Complementos nutricionales'];;2023-04-15
289806;2.59;BIAZOO snack para perros sticks de cuero natural bolsa 100 gr;BIAZOO;25.9;€/Kg.;['Mascotas', 'Perros'];;2023-04-15
143549;2.89;HORNIMANS té silueta estuche 20 bolsitas;HORNIMANS;0.14;€/ud.;['Despensa', 'Desayunos y dulces', 'Infusiones'];;2023-04-15
244789;4.19;SELECCIÓN DE DIA hamburguesas de cerdo y vacuno bandeja 6 uds 540 gr;SELECCIÓN DE DIA;7.76;€/Kg.;['Frescos', 'Carne', 'Mixto'];;2023-04-15
73676;1.29;PASCUAL leche entera envase 1 lt;PASCUAL;1.29;€/l.;['Despensa', 'Lácteos y huevos', 'Leche'];;2023-04-15
244234;2.56;ORTIZ pan tostado tradicional paquete 324 gr;ORTIZ;7.9;€/Kg.;['Despensa', 'Pan', 'Biscotes'];;2023-04-15
277773;1.25;DIA ZUMOSFERA néctar de piña envase 1 lt;DIA ZUMOSFERA;1.25;€/l.;['Bebidas', 'Zumos'];;2023-04-15
87057;3.25;MARDEL dulce de leche frasco 450 gr;MARDEL;7.22;€/Kg.;['Despensa', 'Desayunos y dulces', 'Cacao y cremas de cacao'];;2023-04-15
26327;1.69;DIA SUPER PACO abrillantador para lavavajillas máquina botella 1 lt;DIA SUPER PACO;1.69;€/l.;['Cuidado del hogar', 'Lavavajillas'];;2023-04-15
198528;3.29;FLORETTE ensalada de pasta y rúcula tarrina 320 gr;FLORETTE;10.28;€/Kg.;['Platos preparados', 'Ensaladas'];;2023-04-15
150843;0.65;CAPRI-SUN zumo de naranja envase 200 ml;CAPRI;3.25;€/l.;['Bebidas', 'Zumos'];;2023-04-15
227141;1.05;DIA esponja con fibra verde 3 uds;DIA;0.35;€/ud.;['Cuidado del hogar', 'Utensilios de limpieza'];;2023-04-15
74722;1.78;ASTURIANA leche desnatada botella 1.5 lt;ASTURIANA;1.19;€/l.;['Despensa', 'Lácteos y huevos', 'Leche'];;2023-04-15
101720;1.34;LUENGO garbanzos cocidos frasco 400 gr;LUENGO;3.35;€/Kg.;['Despensa', 'Arroz y legumbres', 'Legumbres'];;2023-04-15
