product_id;price;product;brand;unit_price;units;categories;discount;date
292712;3.45;Ambientador mikado mango ;Meyomi;3.45;€/100 ML.);['Limpieza y hogar', 'Insecticidas y ambientadores'];;2023-07-30
199405;2.29;Fregasuelos multi desinfección ;Sanicentro;1.53;€/LITRO);['Limpieza y hogar', 'Cristales y suelos'];;2023-07-30
262440;4.04;Atún claro en escabeche ;Mari;11.22;€/KILO);['Conservas. caldos y cremas', 'Atún. bonito y caballa'];;2023-07-30
296488;1.95;Salsa césar para ensaladas ;Chovi;7.8;€/LITRO);['Aceites. salsas y especias', 'Mayonesa y otras salsas'];;2023-07-30
142233;1.99;Aperitivo de maíz frito con sabor a pimiento picantenachos sabor picante ;Doritos;14.21;€/KILO);['Patatas fritas. encurtidos y frutos secos', 'Patatas fritas y snacks'];;2023-07-30
16621;8.49;Repelente de insectos ;Autan;8.49;€/100 ML.);['Perfumería. higiene. salud', 'Parafarmacia'];;2023-07-30
283126;0.75;Refresco zero sabor lima ;Pepsi;2.27;€/LITRO);['Agua. refrescos y zumos', 'Cola'];;2023-07-30
160624;3.35;Empanada de carne ;El;6.09;€/KILO);['Pizzas y platos preparados', 'Tortillas. empanadas. croquetas'];;2023-07-30
277988;6.99;Vitagomis para adultos ;Multicentrum;0.23;€/UNIDAD);['Perfumería. higiene. salud', 'Complementos nutricionales'];;2023-07-30
275646;1.39;Minicroquetas de jamón ;Al;3.09;€/KILO);['Congelados', 'Empanadillas y rebozados'];;2023-07-30
277448;8.65;Cerveza rubia dorada ;El;2.62;€/LITRO);['Cervezas. vinos y bebidas con alcohol', 'Cervezas nacionales'];;2023-07-30
297023;3.45;Alcachofas en aceite y especias en cuartos ;Alsur;18.16;€/KILO);['Conservas. caldos y cremas', 'Conservas vegetales'];;2023-07-30
231490;1.15;Golosinas gatos sabor regaliz ;Trolli;11.5;€/KILO);['Azúcar. chocolates y caramelos', 'Caramelos. chicles y golosinas'];;2023-07-30
231182;2.09;Picos artesanos de jerez ;Horno;5.23;€/KILO);['Panes. harinas y masas', 'Picos y panes tostados'];;2023-07-30
273995;4.09;Gel lavavajillas máquina todo en ;Super;5.68;€/LITRO);['Limpieza y hogar', 'Lavavajillas'];;2023-07-30
111475;4.69;Loción corporal extra nutritiva piel muy seca ;Natural;1.17;€/100 ML.);['Perfumería. higiene. salud', 'Hidratación corporal y solar'];;2023-07-30
264899;8.0;Preservativos sensitivo suave ;Durex;0.67;€/UNIDAD);['Perfumería. higiene. salud', 'Parafarmacia'];;2023-07-30
269280;3.49;Champú nutritivo aceite extraordinario cabello seco ;Elvive;1.22;€/100 ML.);['Perfumería. higiene. salud', 'Champú'];;2023-07-30
10398;2.99;Caramelos masticables de frutas ;Sugus;19.93;€/KILO);['Azúcar. chocolates y caramelos', 'Caramelos. chicles y golosinas'];;2023-07-30
292633;2.49;Patatas fritas cheesy cheese ;Pringles;15.09;€/KILO);['Patatas fritas. encurtidos y frutos secos', 'Patatas fritas y snacks'];;2023-07-30
286534;1.59;Verduras braseadas ;Vegedia;14.45;€/KILO);['Charcutería y quesos', 'Foie. paté y sobrasada'];;2023-07-30
276169;1.95;Salchichón a la pimienta ;Sola;19.5;€/KILO);['Charcutería y quesos', 'Lomo. chorizo. fuet. salchichón'];;2023-07-30
187992;2.35;Cayena guindillas ;Carmencita;146.88;€/KILO);['Aceites. salsas y especias', 'Sal y especias'];;2023-07-30
259230;11.95;Pants de incontinencia cintura alta talla ;Tena;1.49;€/UNIDAD);['Perfumería. higiene. salud', 'Compresas y cuidado íntimo'];;2023-07-30
49159;1.99;Loción refrescante after shave ;Bonté;1.99;€/100 ML.);['Perfumería. higiene. salud', 'Afeitado'];;2023-07-30
295814;1.59;Helado para perros sabor crema ;Dr;31.8;€/KILO);['Mascotas', 'Perros'];;2023-07-30
269839;3.45;Quitagrasas desinfectante ;Asevi;4.79;€/LITRO);['Limpieza y hogar', 'Limpia muebles y multiusos'];;2023-07-30
283607;1.69;Yogur original con arándanos ;Danone;6.5;€/KILO);['Yogures y postres', 'Yogures de sabores y frutas'];;2023-07-30
293025;1.79;Barritas de chocolate y galleta ;Nestlé;17.55;€/KILO);['Azúcar. chocolates y caramelos', 'Chocolates y bombones'];;2023-07-30
227913;6.49;Café en cápsulas lungo ;Or;0.41;€/UNIDAD);['Café. cacao e infusiones', 'Café'];;2023-07-30
251591;2.69;Alimento para gatos junior en gelatina casserole aves ;Whiskas;7.91;€/KILO);['Mascotas', 'Gatos'];;2023-07-30
250252;2.55;Pizza barbacoa ;Dia;7.29;€/KILO);['Congelados', 'Pizzas. bases y masas'];;2023-07-30
151263;1.65;Champú liso y suave cabello rebelde ;Bonté;0.41;€/100 ML.);['Perfumería. higiene. salud', 'Champú'];;2023-07-30
286028;1.99;Nuez con chocolate con leche ;Naturmundo;13.27;€/KILO);['Patatas fritas. encurtidos y frutos secos', 'Frutos secos'];;2023-07-30
274070;2.45;Salchicha alemana cocktail ;Selección;16.33;€/KILO);['Conservas. caldos y cremas', 'Conservas de carne'];;2023-07-30
51209;1.1;Pasta de lazos tricolor ;Al;2.2;€/KILO);['Arroz. pastas y legumbres', 'Pastas'];;2023-07-30
279210;1.59;Mini biscotes ;El;6.63;€/KILO);['Panes. harinas y masas', 'Picos y panes tostados'];;2023-07-30
129390;3.25;Tampón compacto con aplicador normal ;Bonté;0.1;€/UNIDAD);['Perfumería. higiene. salud', 'Compresas y cuidado íntimo'];;2023-07-30
239320;4.29;Ketchup cero azúcar ;Prima;8.41;€/KILO);['Aceites. salsas y especias', 'Tomate'];;2023-07-30
262642;3.5;Gazpacho fresco con aceite de oliva ;García;3.5;€/LITRO);['Pizzas y platos preparados', 'Gazpachos. salmorejos y ensaladas'];;2023-07-30
44948;1.89;Queso azul ;El;12.6;€/KILO);['Charcutería y quesos', 'Queso azul y roquefort'];;2023-07-30
188233;1.99;Nata para cocinar sin lactosa ;Kaiku;9.95;€/LITRO);['Leche. huevos y mantequilla', 'Nata'];;2023-07-30
184718;2.59;Mini barritas de chocolate con leche y avellanas ;Kinder;23.98;€/KILO);['Azúcar. chocolates y caramelos', 'Chocolates y bombones'];;2023-07-30
280264;3.25;Papel higiénico aloe vera ;Amoos;0.54;€/UNIDAD);['Limpieza y hogar', 'Papel higiénico. de cocina. servilletas'];;2023-07-30
205046;8.99;Licor de anís dulce ;La;12.84;€/LITRO);['Cervezas. vinos y bebidas con alcohol', 'Cremas y licores'];;2023-07-30
173726;1.2;Esparadrapo en tejido sin tejer hipoalergénico ;Bonté;1.2;€/UNIDAD);['Perfumería. higiene. salud', 'Parafarmacia'];;2023-07-30
273805;3.29;Salsa arrabbiata ;Barilla;8.23;€/KILO);['Aceites. salsas y especias', 'Mayonesa y otras salsas'];;2023-07-30
111575;7.99;Cinta de lomo adobada ;Selección;7.99;€/KILO);['Carnicería', 'Cerdo'];;2023-07-30
83977;1.95;Leche crecimiento ;Puleva;1.95;€/LITRO);['Bebé', 'Leche infantil'];;2023-07-30
19518;0.3;Sal marina yodada ;Dia;0.3;€/KILO);['Aceites. salsas y especias', 'Sal y especias'];;2023-07-30
277382;5.99;Vela decorativa verde ;Aroma;5.99;€/UNIDAD);['Limpieza y hogar', 'Insecticidas y ambientadores'];;2023-07-30
272408;5.99;Licor de crema de orujo ;Mourama;8.56;€/LITRO);['Cervezas. vinos y bebidas con alcohol', 'Cremas y licores'];;2023-07-30
289921;2.15;Maquinilla depilación dos hojas ;Imaqe;0.22;€/UNIDAD);['Perfumería. higiene. salud', 'Depilación'];;2023-07-30
287449;1.09;Barritas energéticas con dátil;Just;27.25;€/KILO);['Galletas. bollos y cereales', 'Tortitas'];;2023-07-30
273674;1.09;Cerillas ;Flam;0.36;€/UNIDAD);['Limpieza y hogar', 'Útiles del hogar. pilas. bombillas'];;2023-07-30
231948;4.79;Ambientador antitabaco ;Ambipur;15.97;€/LITRO);['Limpieza y hogar', 'Insecticidas y ambientadores'];;2023-07-30
276193;5.99;Colonia flores blancas ;Arome;3.99;€/100 ML.);['Perfumería. higiene. salud', 'Colonias'];;2023-07-30
284190;11.0;Vino blanco treixadura ;Ribeiro;14.67;€/LITRO);['Cervezas. vinos y bebidas con alcohol', 'Vino blanco'];;2023-07-30
