product_id;price;product;brand;unit_price;units;categories;discount;date
277771;1.15;DIA ZUMOSFERA zumo de naranja 100% sin pulpa pack 3 unidades 200 ml;DIA ZUMOSFERA;1.92;€/l.;['Bebidas', 'Zumos'];;2022-12-31
265705;12.59;DODOT Pants pañales +15 kg talla 6 paquete 27 uds;DODOT;0.47;€/ud.;['Bebé', 'Pañales'];;2022-12-31
177733;1.05;BONTE loción hidratante formato viaje botella 50 ml;BONTE;21.0;€/l.;['Cuidado personal', 'Cuidado corporal', 'Hidratación corporal'];;2022-12-31
284387;1.19;DIA MARI MARINERA filetes de caballa del sur en aceite de girasol lata 85 gr;DIA MARI MARINERA;14.0;€/Kg.;['Despensa', 'Conservas', 'Conservas de pescado'];;2022-12-31
93;1.57;Calabacín unidad (790 gr aprox.);;1.99;€/Kg.;['Frescos', 'Verduras y hortalizas', 'Calabacín. calabaza y berenjena'];;2022-12-31
125616;2.95;DIA NATURMUNDO avellanas tostadas bolsa 200 gr;DIA NATURMUNDO;14.75;€/Kg.;['Despensa', 'Aperitivos'];;2022-12-31
283888;1.25;DIA IMAQE discos de algodón ovalados bolsa 70 uds;DIA IMAQE;1.25;€/ud.;['Cuidado personal', 'Cuidado corporal', 'Limpieza facial'];;2022-12-31
74305;2.39;DIA GRANDIA copos de arroz y trigo integral paquete 500 gr;DIA GRANDIA;4.78;€/Kg.;['Despensa', 'Desayunos y dulces', 'Cereales'];;2022-12-31
238338;2.79;VILEDA estropajo con fibra paquete 3 uds;VILEDA;0.93;€/ud.;['Cuidado del hogar', 'Utensilios de limpieza'];;2022-12-31
151018;1.89;CASA TARRADELLAS masa fina para pizza rollo 260 gr;CASA TARRADELLAS;7.27;€/Kg.;['Despensa', 'Pastas. harinas y masas', 'Masas y hojaldres'];;2022-12-31
146093;4.89;VIVISIMA+ jalea real envase 12 viales;VIVISIMA;0.41;€/ud.;['Despensa', 'Dietéticos', 'Complementos nutricionales'];;2022-12-31
143549;2.89;HORNIMANS té silueta estuche 20 bolsitas;HORNIMANS;0.14;€/ud.;['Despensa', 'Desayunos y dulces', 'Infusiones'];;2022-12-31
