product_id;price;product;brand;unit_price;units;categories;discount;date
265705;12.59;DODOT Pants pañales +15 kg talla 6 paquete 27 uds;DODOT;0.47;€/ud.;['Bebé', 'Pañales'];;2023-03-11
177733;0.9;BONTE loción hidratante formato viaje botella 50 ml;BONTE;18.0;€/l.;['Cuidado personal', 'Cuidado corporal', 'Hidratación corporal'];;2023-03-11
284387;1.15;DIA MARI MARINERA filetes de caballa del sur en aceite de girasol lata 85 gr;DIA MARI MARINERA;13.53;€/Kg.;['Despensa', 'Conservas', 'Conservas de pescado'];;2023-03-11
125616;2.95;DIA NATURMUNDO avellanas tostadas bolsa 200 gr;DIA NATURMUNDO;14.75;€/Kg.;['Despensa', 'Aperitivos'];;2023-03-11
283888;1.25;DIA IMAQE discos de algodón ovalados bolsa 70 uds;DIA IMAQE;1.25;€/ud.;['Cuidado personal', 'Cuidado corporal', 'Limpieza facial'];;2023-03-11
74305;2.35;DIA GRANDIA copos de arroz y trigo integral paquete 500 gr;DIA GRANDIA;4.7;€/Kg.;['Despensa', 'Desayunos y dulces', 'Cereales'];;2023-03-11
238338;2.99;VILEDA estropajo con fibra paquete 3 uds;VILEDA;1.0;€/ud.;['Cuidado del hogar', 'Utensilios de limpieza'];;2023-03-11
151018;1.69;CASA TARRADELLAS masa fina para pizza rollo 260 gr;CASA TARRADELLAS;6.5;€/Kg.;['Despensa', 'Pastas. harinas y masas', 'Masas y hojaldres'];;2023-03-11
146093;4.99;VIVISIMA+ jalea real envase 12 viales;VIVISIMA;0.42;€/ud.;['Despensa', 'Dietéticos', 'Complementos nutricionales'];;2023-03-11
289806;2.49;BIAZOO snack para perros sticks de cuero natural bolsa 100 gr;BIAZOO;24.9;€/Kg.;['Mascotas', 'Perros'];;2023-03-11
143549;2.95;HORNIMANS té silueta estuche 20 bolsitas;HORNIMANS;0.15;€/ud.;['Despensa', 'Desayunos y dulces', 'Infusiones'];;2023-03-11
244789;4.19;SELECCIÓN DE DIA hamburguesas de cerdo y vacuno bandeja 6 uds 540 gr;SELECCIÓN DE DIA;7.76;€/Kg.;['Frescos', 'Carne', 'Mixto'];;2023-03-11
73676;1.29;PASCUAL leche entera envase 1 lt;PASCUAL;1.29;€/l.;['Despensa', 'Lácteos y huevos', 'Leche'];;2023-03-11
244234;2.59;ORTIZ pan tostado tradicional paquete 324 gr;ORTIZ;7.99;€/Kg.;['Despensa', 'Pan', 'Biscotes'];;2023-03-11
277773;1.25;DIA ZUMOSFERA néctar de piña envase 1 lt;DIA ZUMOSFERA;1.25;€/l.;['Bebidas', 'Zumos'];;2023-03-11
